Feature,Description,Comment
AcceptedCmp1,"1 if customer accepted the offer in the 1st campaign, 0 otherwise",
AcceptedCmp2,"1 if customer accepted the offer in the 2nd campaign, 0 otherwise",
AcceptedCmp3,"1 if customer accepted the offer in the 3rd campaign, 0 otherwise",
AcceptedCmp4,"1 if customer accepted the offer in the 4th campaign, 0 otherwise",
AcceptedCmp5,"1 if customer accepted the offer in the 5th campaign, 0 otherwise",
AcceptedCmpOverall,overall number of accepted campaigns,This column was added from the list of actual columns
Response,"1 if customer accepted the offer in the last campaign, 0 otherwise",
Complain,1 if customer complained in the last 2 years,
DtCustomer,date of customer’s enrolment with the company,There is no such column in the dataset
Customer_Days,number of days since registration as a customer,
Education,customer’s level of education,There is no such column in the actual dataset
education_2n Cycle,customer has secondary education,This column was added from the list of actual columns
education_Basic,customer has basic education,This column was added from the list of actual columns
education_Graduation,Customer has a bachelor degree,This column was added from the list of actual columns
education_Master,Customer has a masters degree,This column was added from the list of actual columns
education_PhD,Customer has a PhD,This column was added from the list of actual columns
Marital,customer’s marital status.,There is no such column in the actual dataset
marital_Divorced,"1 if customer is divorced, 0 otherwise.",This column was added from the list of actual columns
marital_Married,"1 if customer is married, 0 otherwise.",This column was added from the list of actual columns
marital_Single,"1 if customer is single, 0 otherwise.",This column was added from the list of actual columns
marital_Together,"1 if customer is in relationship, 0 otherwise.",This column was added from the list of actual columns
marital_Widow,"1 if customer is a widow / widower, 0 otherwise",
Kidhome,number of small children in customer’s household,
Teenhome,number of teenagers in customer’s household,
Income,customer’s yearly household income,
MntFishProducts,amount spent on fish products in the last 2 years,
MntMeatProducts,amount spent on meat products in the last 2 years,
MntFruits,amount spent on fruits products in the last 2 years,
MntSweetProducts,amount spent on sweet products in the last 2 years,
MntWines,amount spent on wine products in the last 2 years,
MntGoldProds,amount spent on gold products in the last 2 years,
NumDealsPurchases,number of purchases made with discount,
NumCatalogPurchases,number of purchases made using catalogue,
NumStorePurchases,number of purchases made directly in stores,
NumWebPurchases,number of purchases made through company’s web site,
NumWebVisitsMonth,number of visits to company’s web site in the last month,
Recency,number of days since the last purchase,
Z_CostContact,,This column was added from the list of actual columns
Z_Revenue,,This column was added from the list of actual columns
Age,Age of customer,This column was added from the list of actual columns
MntTotal,Total amount spent on all the products,This column was added from the list of actual columns
MntRegularProds,,This column was added from the list of actual columns
